,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
7545,株式会社エーケンニッカ,-,足立区千住緑町３丁目２番１５−２０２号,-,-,-,,,35.747166,139.79246
7546,株式会社エー・シー・ネット・アドバンス,-,足立区保木間３丁目３２番１２号,小売,-,03-5831-6295,4,,35.796447,139.806375
7547,永大建材株式会社,-,足立区千住旭町１番２４−１０１号,不動産、レンタル・リース,-,03-3881-8811,0,,35.748874,139.80716
7548,エイビイシー観光株式会社,-,足立区綾瀬１丁目３９番１号,-,-,-,,,35.758847,139.822005
7549,株式会社エスエスコーポレーション,-,足立区梅田７丁目３０番７号,-,-,-,,,35.769553,139.800673
7551,株式会社遠藤商店,遠藤哲也,足立区花畑１丁目１４番１号,商社,http://www.endo-shoten.co.jp,-,16,,35.799723,139.812801
7552,遠藤建設株式会社,鈴木隆,足立区西新井７丁目１番１１号,建設,http://www.endo-kensetsu.co.jp/,03-3898-5271,19,,35.780571,139.771587
7553,株式会社エヌ・ディー・シー,-,足立区鹿浜６丁目２３番１３号,-,-,-,1,,35.786345,139.759033
7554,株式会社エフジーエム,飯田悦子,足立区西新井５丁目１８番４号,-,http://www.e-fgm.co.jp/,-,40,,35.784404,139.775653
7555,株式会社海老原自動車,-,足立区六町３丁目７番１９号,メーカー,-,-,,,35.785898,139.818488
7556,株式会社エム・エス・ジー・センター,-,足立区江北２丁目８番６号,-,-,-,1,,35.768191,139.763191
7557,株式会社エムケイコーポレーション,-,足立区加平３丁目１７番１３号,-,-,-,,,35.780082,139.82902
7558,株式会社エレクトロ・エヌ,永倉勝弘,足立区東和１丁目１３番６号,建設,-,03-5616-6066,,,35.766668,139.837754
7560,株式会社オーエム,大村初男,足立区一ツ家３丁目２４番２３号,商社,http://ohemu.com,03-3884-1333,10,,35.780196,139.813414
7561,株式会社扇工業,清水誠一,足立区加賀２丁目１２番９号,-,http://www.ohgibell.com/,-,2,,35.792695,139.760153
7562,扇田商事株式会社,-,足立区扇２丁目３番１４号,-,-,-,,,35.763224,139.765885
7563,株式会社大熊,-,足立区江北７丁目５番３号,サービス,-,03-3896-4003,7,,35.780768,139.763566
7564,株式会社オークラ,-,足立区保木間２丁目６番２０号,-,-,-,2,,35.793455,139.806234
7565,株式会社王子電化,-,足立区新田３丁目５番６号,メーカー,http://ojidenka.co.jp,03-3914-6423,16,,35.771394,139.748646
7566,株式会社大常相原工務店,-,足立区綾瀬２丁目１番７号,建設,-,-,,,35.759926,139.828332
7568,大盛経理事務株式会社,-,足立区千住柳町３番７号,-,-,-,1,,35.753791,139.796347
7569,株式会社オーレンス,-,足立区関原２丁目２１番１号,-,http://www.olens.co.jp/,-,30,,35.766962,139.789046
7570,株式会社ＯＫＧＹ,岡田久男,足立区中川４丁目２３番１９号,サービス,-,-,5,,35.771442,139.846681
7571,株式会社Ｒｉｔｔ’ｓ＆Ｇｏ,-,足立区千住中居町３０番４号,メーカー,-,-,2,,35.749437,139.79773
7572,小川興業株式会社,-,足立区日ノ出町２０番１５号,商社,-,-,,,35.753521,139.810519
7574,株式会社落合園,-,足立区舎人４丁目９番７号,-,-,-,,,35.816555,139.767733
7575,株式会社オッティモ,石川哲史,足立区柳原２丁目２番１１号,メーカー,http://www.ottimo-shoes.co.jp/,-,15,,35.748855,139.813804
7576,株式会社オンワード,-,足立区千住旭町３５番１６号,-,-,-,,,35.748874,139.80716
7577,関東エアマン部品販売株式会社,-,足立区栗原４丁目１４番５号,-,-,-,,,35.785392,139.785461
7578,関東販送株式会社,-,足立区大谷田５丁目３０番１５号,運輸・倉庫関連,-,03-3620-2006,7,,35.78373,139.839345
7579,カープラザ日本自動車株式会社,-,足立区南花畑２丁目１番８号,-,http://www.294net.com,-,4,,35.790927,139.819521
7580,株式会社角鹿鉄工,角鹿茂,足立区西綾瀬２丁目２２番２５号,建設,-,03-3889-9939,3,,35.763724,139.814163
7581,株式会社柿沼商店ときわ屋,-,足立区青井４丁目２４番１６号,-,-,-,16,,35.774982,139.819686
7582,株式会社環境資源,-,足立区栗原４丁目２４番３号太陽建設ビル内,-,-,-,,,35.785392,139.785461
7583,株式会社笠興,笠井成寛,足立区鹿浜３丁目２４番５号,不動産、レンタル・リース,-,03-3897-5321,5,,35.781121,139.753482
7585,株式会社片岡測器製作所,-,足立区千住大川町３６番１６号,-,-,-,,,35.757149,139.79809
7586,門井不動産株式会社,門井政弥,足立区谷中４丁目９番２１号,不動産、レンタル・リース,http://www.kadoinet.jp/,03-3606-4341,5,,35.782042,139.832019
7587,株式会社カントック,-,足立区入谷１丁目６番１６号,建設,-,03-3899-8110,4,,35.803769,139.768468
7588,株式会社カナシン,-,足立区足立３丁目２番６号,メーカー,-,03-3889-3217,,,35.763981,139.810429
7589,カネト商事株式会社,-,足立区大谷田２丁目３番３５号３−１１０１,-,-,-,,,35.782465,139.845017
7590,株式会社金ひさ商店,-,足立区梅田４丁目１１番９号,商社,http://www.kanehisa-s.jp,03-3849-1161,6,,35.762929,139.793216
7591,株式会社カネムラ,-,足立区関原１丁目１２番２１号,不動産、レンタル・リース,-,-,1,,35.761855,139.789455
7592,蒲原燃料住宅設備株式会社,石井真佐巳,足立区六木１丁目１１番１１号,不動産、レンタル・リース,http://www.kabara.co.jp/,03-3605-2488,27,,35.791125,139.837839
7593,株式会社神谷商店,-,足立区千住橋戸町５０番地,-,-,-,,,35.740193,139.797811
7594,川正産業株式会社,-,足立区江北３丁目２５番７号,-,-,-,,,35.774461,139.761223
7595,株式会社からしや,-,足立区六木３丁目５２番４号,-,-,-,5,,35.797245,139.842774
7596,株式会社協和産業,-,足立区弘道２丁目１９番１３号,商社,-,03-3889-5961,3,,35.768347,139.818147
7597,株式会社共和パッケージ,和知英昭,足立区梅島３丁目２７番１号,商社,http://www.kyowapackage.co.jp/,03-3852-2021,22,,35.775806,139.794888
7599,株式会社菊屋,-,足立区綾瀬１丁目２９番４号,サービス,-,-,,,35.758847,139.822005
7600,キザワ・ジェイ・シー・エム株式会社,-,足立区千住５丁目１０番５号,-,-,-,3,,35.756268,139.804677
7601,株式会社北エンタープライズ,-,足立区六木１丁目１６番１０号,小売,-,03-3605-2990,5,,35.791125,139.837839
7602,北島建設株式会社,-,足立区東保木間１丁目１６番１号,-,-,-,,,35.789408,139.813648
7604,株式会社きも乃雅,-,足立区島根４丁目２１番１８号,-,-,-,,,35.782985,139.79454
7605,株式会社キュー,-,足立区千住緑町２丁目２７番１１号,-,-,-,,,35.744936,139.792197
7606,輝陽工業株式会社,-,足立区栗原４丁目４番２号,-,-,-,,,35.785392,139.785461
7607,株式会社共進商会,-,足立区千住河原町３５番１４号,-,-,-,1,,35.743103,139.798787
7608,協同サッシ工業株式会社,増尾裕司,足立区辰沼１丁目５番５号,建設,-,03-3620-5171,7,,35.785467,139.835066
7609,株式会社享屋,-,足立区東保木間２丁目１１番７号,メーカー,http://www.kyoya-ramen.co.jp/,03-3860-1311,17,,35.792872,139.813541
7610,株式会社キヨタカ,-,足立区大谷田３丁目１０番３号,-,-,-,,,35.778755,139.841164
7612,桐生英建販株式会社,-,足立区綾瀬３丁目３番１０号,-,-,-,,,35.764004,139.826444
7613,群食株式会社,-,足立区入谷５丁目２番２９号,-,-,-,,,35.803842,139.762302
7614,株式会社國井保険事務所,-,足立区関原２丁目１５番８号,-,-,-,1,,35.766962,139.789046
7615,株式会社久保製作所,伊藤彰英,足立区西保木間１丁目１５番１８号,-,http://www.kbs-japan.com/,-,53,,35.796496,139.799955
7617,クローバー株式会社,関根宏司,足立区本木北町１４番１８号,商社,-,03-3854-4666,1,,35.765318,139.779252
7618,栗駒電気工事株式会社,佐藤良雄,足立区梅島１丁目２５番６号,建設,http://www.kurikoma-denki.co.jp/,03-5681-0031,91,,35.772496,139.800703
7619,株式会社黒田自動車鈑金,-,足立区梅島２丁目２８番７号,-,-,-,,,35.77665,139.800335
7620,株式会社黒姫,渡辺明彦,足立区入谷３丁目９番１８号,建設,http://www.kurohime.co.jp/,03-3855-5805,30,,35.81061,139.76091
7621,クリヤマカラーテック株式会社,-,足立区西新井本町２丁目２３番２０号,メーカー,-,03-3890-3404,3,,35.775826,139.772349
7622,ケイエスビル株式会社,-,足立区竹の塚１丁目１２番６号,-,-,-,,,35.790869,139.791713
7624,啓制御工業株式会社,-,足立区皿沼１丁目１５番９号,建設,-,-,0,,35.793395,139.762847
7625,ケン・インターナショナル株式会社,-,足立区千住寿町１２番１０号,-,-,-,,,35.753088,139.799171
7626,京北食品株式会社,-,足立区江北３丁目３９番２号,商社,-,-,0,,35.774461,139.761223
7627,恵和紙興業株式会社,-,足立区千住緑町３丁目１９番１６号,メーカー,-,03-3882-4325,16,,35.747166,139.79246
7628,光栄興業株式会社,-,足立区加平３丁目９番１８号,-,-,-,,,35.780082,139.82902
7629,硬栄鍍金工業株式会社,-,足立区中川１丁目１８番１９号,メーカー,-,03-3603-3121,8,,35.76621,139.855077
7630,株式会社工芸社,二戸正利,足立区入谷３丁目１５番１号,メーカー,http://www.kougeisya.net/,03-3897-6518,13,,35.81061,139.76091
7632,株式会社コーダ,-,足立区島根２丁目１４番５号,商社,-,-,,,35.782287,139.800268
7633,株式会社宏南建設,南村文三,足立区竹の塚５丁目３６番２１号,建設,-,03-5831-2261,14,,35.795687,139.796115
7634,株式会社江北エレクトリツク,-,足立区江北３丁目３７番１号,-,-,-,2,,35.774461,139.761223
7635,興陽金属株式会社,-,足立区新田３丁目１８番８号,-,-,-,0,,35.771394,139.748646
7637,株式会社ゴールデンバーグ,-,足立区梅田５丁目２１番１３号,-,-,-,,,35.769298,139.794037
7638,国際観光交通株式会社,-,足立区日ノ出町１３番１１号,-,-,-,2,,35.753521,139.810519
7639,株式会社コスミック,-,足立区西新井本町１丁目１９番６号,-,-,-,,,35.77579,139.779365
7640,古平タイル工業株式会社,古平正嗣,足立区千住寿町２８番１３号,建設,http://kodairatile.com/,03-3888-7311,16,,35.753088,139.799171
7641,後藤食品株式会社,-,足立区舎人５丁目２２番２６号,サービス,-,-,,,35.811593,139.767983
7642,株式会社コナ,-,足立区西新井栄町１丁目１３番７号,-,-,-,,,35.774025,139.788795
7643,小林興業株式会社,-,足立区西新井栄町２丁目１３番１３号,-,-,-,1,,35.7766,139.788031
7644,株式会社コバプロ,小林康行,足立区綾瀬２丁目６番２１号,-,http://www.kobapro.com/,-,13,,35.759926,139.828332
7645,株式会社駒込熱処理工業所,-,足立区入谷９丁目２７番１６号,メーカー,-,03-3897-0389,9,,35.809011,139.754661
7646,株式会社小峯製作所,-,足立区青井４丁目１１番１５号,-,-,-,,,35.774982,139.819686
7647,小宮紙業株式会社,-,足立区関原２丁目３６番２号,商社,-,-,2,,35.766962,139.789046
7648,株式会社小柳家,-,足立区西新井１丁目９番１２号,-,-,-,,,35.78031,139.781021
7651,三和商事株式会社,-,足立区栗原１丁目２６番１号,小売,-,03-3883-9271,2,,35.780414,139.789422
7652,三和舞台株式会社,代表取締役 佐藤 見江,足立区鹿浜６丁目１５番１８号,サービス,-,-,11,,35.786345,139.759033
7653,日本総合経営株式会社,-,足立区西伊興１丁目１番１号,-,-,-,,,35.792396,139.77469
7654,ザオー工業株式会社,鈴木国博,足立区関原２丁目１１番２６号,メーカー,http://www.zaoh.com/,03-3848-2301,12,,35.766962,139.789046
7655,山栄木材株式会社,-,足立区東綾瀬２丁目１７番２２号,小売,-,-,0,,35.767486,139.831897
7656,株式会社彩光社,-,足立区千住緑町２丁目３１番２２号,サービス,-,03-3882-6011,14,,35.744936,139.792197
7657,株式会社斎藤建築事務所,-,足立区宮城１丁目６番１６号,-,-,-,1,,35.75933,139.755095
7658,株式会社三幸,-,足立区千住元町２８番９号,-,-,-,,,35.756114,139.791734
7659,三佳興業株式会社,-,足立区千住２丁目１６番地,サービス,-,-,3,,35.74958,139.801967
7660,三光自動車工業株式会社,杉山英史,足立区鹿浜１丁目１６番４号,サービス,http://www.sanko-garage.com/,-,,,35.776167,139.748476
7661,株式会社堺武商店,-,足立区千住橋戸町５０番地,サービス,-,-,,,35.740193,139.797811
7662,サカエファスナー株式会社,-,足立区大谷田３丁目８番９号,商社,-,03-5697-2611,14,,35.778755,139.841164
7663,三協金属株式会社,-,足立区柳原２丁目２２番１号,商社,-,-,1,,35.748855,139.813804
7664,株式会社坂谷工業所,坂谷武志,足立区千住緑町２丁目１７番２３号,メーカー,http://www.sakatani-k.com,03-3881-6398,11,,35.744936,139.792197
7665,関東パネル工業株式会社,-,足立区綾瀬５丁目２４番１０号,-,-,-,,,35.767511,139.826795
7666,三神株式会社,-,足立区谷中１丁目１番１９号,-,-,-,4,,35.77249,139.832129
7667,株式会社三千里,-,足立区花畑町４２９２番地２,-,-,-,,,,
7669,佐藤特殊合板株式会社,-,足立区谷中１丁目１８番１２号,建設,-,03-3605-5141,10,,35.77249,139.832129
7670,サンテック株式会社,-,足立区入谷９丁目３番１４号,-,-,-,4,,35.809011,139.754661
7671,サンミ工営株式会社,-,足立区六町３丁目１番１７号,-,-,-,1,,35.785898,139.818488
7673,株式会社山陽工業,山本卓司,足立区竹の塚６丁目２５番３０号,不動産、レンタル・リース,http://www.sanyokougyou.co.jp/,03-3859-2951,24,,35.795695,139.792763
7674,株式会社さんよう,新妻洋三,足立区西保木間２丁目１８番１６号,商社,http://www.s34.jp/,03-5851-3410,16,,35.800512,139.79963
7675,株式会社澤浦製作所,-,足立区西伊興２丁目５番１２号,-,-,-,,,35.794578,139.7766
7676,三立工事株式会社,谷島正雄,足立区新田３丁目２番１７号,商社,http://www.sanritsu-kouji.co.jp/,03-3927-3939,10,,35.771394,139.748646
7678,株式会社ジエーエスピー,-,足立区中川５丁目２番２２号,-,-,-,,,35.774962,139.849435
7680,株式会社信栄製作所,-,足立区中央本町４丁目４番２号,-,-,-,4,,35.775434,139.808267
7682,株式会社伸学舎,-,足立区竹の塚５丁目７番１８号,教育・研究,-,-,,,35.795687,139.796115
7683,株式会社鹿浜丸栄不動産,-,足立区鹿浜４丁目２５番１７号,不動産、レンタル・リース,-,03-3897-4482,1,,35.781259,139.758237
7684,親成化學工業株式会社,-,足立区梅田４丁目１１番２号,-,-,-,,,35.762929,139.793216
7685,新星電器株式会社,主計眞介,足立区伊興５丁目５番１号,サービス,https://www.shinsei-dk.net/,03-3897-2265,8,,35.798861,139.782432
7686,株式会社宍戸製作所,-,足立区六町４丁目１２番３号,メーカー,-,03-3885-4816,7,,35.785655,139.822972
7687,株式会社システム・トレンド,-,足立区島根３丁目３番３号,-,-,-,,,35.779603,139.794499
7688,新東タクシー株式会社,川島正明,足立区中央本町１丁目１３番２３号,不動産、レンタル・リース,http://www.shintou-taxi.com,03-3880-1161,24,,35.772771,139.804417
7689,シン電気工事株式会社,紺野俊,足立区入谷９丁目１０番３号,建設,-,03-3855-2611,46,,35.809011,139.754661
7690,株式会社ニューバリー,-,足立区柳原２丁目４番２号,-,-,-,,,35.748855,139.813804
7691,株式会社新宝,-,足立区六町３丁目５番３５号,建設,-,-,2,,35.785898,139.818488
7692,下川建設株式会社,下川朗,足立区扇２丁目１３番１５号,建設,-,03-3898-4551,2,,35.763224,139.765885
7693,清水商事株式会社,清水登,足立区堀之内１丁目１８番１号,小売,http://www.shimizusyouji.co.jp/,-,16,,35.774037,139.753907
7694,株式会社島田＿工所,-,足立区千住龍田町１３番２号,-,http://www.shimada-tk.com/index.htm,-,19,,35.75121,139.795375
7695,株式会社翔,-,足立区北加平町９番２３号,-,-,-,,,35.784064,139.828437
7696,十一堂印刷株式会社,-,足立区中央本町３丁目１８番３号,メーカー,http://www.jyuichido.co.jp,03-3848-1121,3,,35.772271,139.808058
7697,株式会社ドーム,-,足立区舎人６丁目１３番１３−５０６号,-,-,-,,,35.813485,139.764215
7698,信友商事株式会社,-,足立区千住仲町２４番４−７０１号北千住ダイカンプラザ,-,-,-,2,,35.744983,139.800544
7699,城北小野田レミコン株式会社,-,足立区宮城２丁目３番１５号,その他,-,-,0,,35.761241,139.753108
7700,株式会社城北リフォームセンター,-,足立区鹿浜６丁目６番４号,-,-,-,4,,35.786345,139.759033
7701,株式会社正丸組,-,足立区古千谷本町２丁目１７番１２号,サービス,-,03-3899-5647,6,,35.805545,139.77599
7702,株式会社ジャクト,正木淳,足立区扇１丁目２２番３６号,建設,http://www.jact.co.jp/,03-3855-8661,5,,35.762366,139.774261
7703,株式会社写真柳下,柳下勉,足立区千住１丁目３番４号,サービス,http://www.yagishita.co.jp/,-,,,35.747835,139.801407
7704,上海ブライダル企画株式会社,-,足立区竹の塚３丁目３番１５号,-,-,-,,,35.790758,139.800143
7706,株式会社進和装芸,-,足立区一ツ家３丁目２６番１５号,不動産、レンタル・リース,-,-,1,,35.780196,139.813414
7707,株式会社スイング,-,足立区南花畑２丁目３０番９号,-,-,-,,,35.790927,139.819521
7709,株式会社杉本鉄工建設,-,足立区江北３丁目５２番２３号,-,-,-,0,,35.774461,139.761223
7710,株式会社鈴木製作所,-,足立区谷中４丁目４番１２号,-,-,-,4,,35.782042,139.832019
7711,鈴商ミートサプライ株式会社,代表取締役 鈴木 隆夫,足立区入谷９丁目１８番３１号,商社,http://www.suzu-sho.co.jp/,03-3853-2983,21,,35.809011,139.754661
7712,鈴木鍍金工業株式会社,-,足立区入谷２丁目４番５号,-,-,-,4,,35.808771,139.764252
7713,須藤工業株式会社,代表取締役 須藤 正則,足立区西伊興３丁目１４番２２号,メーカー,http://www.sudou-k.co.jp/,-,13,,35.798353,139.777356
7714,株式会社須田自動車整備工場,-,足立区花畑１丁目６番５号,サービス,-,03-3883-1913,0,,35.799723,139.812801
7716,株式会社すみだ製作所,-,足立区西綾瀬２丁目１７番２０号,メーカー,-,-,1,,35.763724,139.814163
7717,株式会社スリーエス,水山秀一,足立区梅田５丁目１０番１２号,建設,https://www.clean-sss.com/,-,2,,35.769298,139.794037
7719,株式会社精美,-,足立区千住東１丁目２２番４号,-,-,-,2,,35.745027,139.804524
7720,株式会社星和,星野傳弘,足立区六木２丁目６番３０号,商社,http://seiwa-web.net/,03-3605-0817,53,,35.792553,139.842313
7721,株式会社大和技術教習所,-,足立区入谷７丁目５番６号,-,-,-,4,,35.799945,139.760376
7723,株式会社関川商店,関川雅也,足立区東和２丁目２８番１３号,商社,-,03-3605-4051,6,,35.768813,139.841969
7724,関根建築工業株式会社,-,足立区千住桜木１丁目２番２号,-,-,-,,,35.751393,139.792051
7725,千住金久漬物株式会社,鯨井章,足立区千住河原町２７番１号,メーカー,http://www.1010kanekyu.com/,03-3882-3035,4,,35.743103,139.798787
7726,株式会社千住の永見,-,足立区千住２丁目６２番地,サービス,-,-,5,,35.74958,139.801967
7727,株式会社セドナ,-,足立区梅田１丁目３３番４号,-,-,-,,,35.762166,139.801593
7728,株式会社仙人,-,足立区東綾瀬１丁目２１番１６号,-,-,-,,,35.764485,139.832352
7730,株式会社ソーイング東京,-,足立区佐野２丁目１７番１６号,-,-,-,,,35.787565,139.838744
7731,綜合医療株式会社,-,足立区保木間２丁目１１番１３号,-,-,-,6,,35.793455,139.806234
7732,株式会社聡建,菊池聡,足立区六木４丁目９番２６号,サービス,http://sohken.org/sohken/,03-3629-0312,35,,35.795981,139.838221
7733,大和工業株式会社,-,足立区神明南１丁目４番３号,建設,-,-,,,35.788641,139.828751
7734,大和食糧株式会社,-,足立区竹の塚５丁目１番３−４０２号,-,-,-,,,35.795687,139.796115
7735,株式会社大英建設,金子泰一郎,足立区西新井栄町２丁目２５番１号,建設,http://www.daieikensetsu.jp,-,3,,35.7766,139.788031
7736,大安建設株式会社,菅原良和,足立区花畑３丁目３４番２１号,建設,-,03-5686-3595,6,,35.803676,139.81266
7737,大壱工業株式会社,山本喜史,足立区梅田５丁目２１番１２号,メーカー,http://home.att.ne.jp/banana/daiichikk/,03-3889-0695,8,,35.769298,139.794037
7738,株式会社第一松井商事,-,足立区千住３丁目５４番地,不動産、レンタル・リース,-,-,,,35.751635,139.802709
7739,大起建設舗道株式会社,-,足立区花畑３丁目１７番２７号,建設,-,-,1,,35.803676,139.81266
7741,株式会社タイセー,亘法厚,足立区加平２丁目７番５号,商社,https://www.taise3.com/,03-3629-5561,2,,35.780366,139.826296
7742,太成倉庫株式会社,代表取締役 鈴木 又右衞門,足立区千住宮元町２８番６号,小売,http://www.taisei-warehouse.co.jp/,03-3888-4141,80,,35.746798,139.796199
7743,大成プラスチツクス工芸株式会社,-,足立区西綾瀬２丁目２１番１７号,-,-,-,5,,35.763724,139.814163
7744,大師玩具株式会社,-,足立区西新井２丁目１１番２号,メーカー,-,-,,,35.784381,139.781432
7745,大伸ステンレス工業株式会社,-,足立区小台１丁目７番１１号,商社,-,03-3912-8021,8,,35.755444,139.771557
7746,大昭石油株式会社,-,足立区加平３丁目９番１８号,-,-,-,,,35.780082,139.82902
7747,株式会社大道,-,足立区綾瀬２丁目６番１４号,金融・保険,-,-,0,,35.759926,139.828332
7748,大東保安警備株式会社,古性利之,足立区大谷田５丁目２４番２号,-,http://daitou-hoan.com/,-,20,,35.78373,139.839345
7749,株式会社大長,-,足立区千住橋戸町５０番地,商社,-,-,2,,35.740193,139.797811
7750,ダイニチ産業株式会社,-,足立区島根２丁目２２番１０号,-,-,-,,,35.782287,139.800268
7751,株式会社大邦,-,足立区江北３丁目２９番９号,不動産、レンタル・リース,-,-,1,,35.774461,139.761223
7752,株式会社太平,-,足立区西新井栄町３丁目１８番１１号,-,-,-,2,,35.776365,139.783343
7753,株式会社大洋オリジナティブプランサービス,-,足立区西新井本町２丁目５番２２号,-,-,-,2,,35.775826,139.772349
7754,大洋造園土木株式会社,杉本哲哉,足立区綾瀬４丁目９番５号,建設,-,03-3606-7352,11,,35.765351,139.822318
7755,太陽プロセスシステム株式会社,-,足立区東綾瀬２丁目４番１８号,-,-,-,6,,35.767486,139.831897
7756,大陸興業株式会社,-,足立区鹿浜２丁目１番２１号,-,-,-,,,35.781856,139.747084
7757,株式会社高佐,-,足立区青井２丁目１０番１８号,-,-,-,3,,35.772297,139.814732
7758,株式会社高島製＿所,-,足立区千住４丁目９番７号,-,-,-,2,,35.753395,139.803278
7759,タカトレーディング株式会社,-,足立区青井３丁目５番２６−８０１号,-,-,-,2,,35.771768,139.819242
7761,株式会社タカボシ,石山武司,足立区西加平２丁目６番２号,小売,http://takaboshi.jp/,03-3859-1111,87,,35.780116,139.820017
7763,株式会社高橋電子,-,足立区中川２丁目１７番４号,-,-,-,,,35.769147,139.855327
7765,タカラ住販株式会社,高原利之,足立区中央本町２丁目２７番１０−１Ｆ,不動産、レンタル・リース,http://www.takarajh.co.jp,03-5681-2301,2,,35.769019,139.807742
7767,株式会社ダツグ商事,-,足立区千住大川町６番１９号,-,-,-,,,35.757149,139.79809
7768,田中機設工事株式会社,-,足立区梅島２丁目４番１０号,-,-,-,,,35.77665,139.800335
7769,田中商事株式会社,田中敏晴,足立区西綾瀬２丁目４番１号,小売,http://www.tanakashoji.com/,03-3840-8814,1,,35.763724,139.814163
7770,タバタアルミ株式会社,-,足立区大谷田３丁目１４番１０号,メーカー,-,-,6,,35.778755,139.841164
7771,株式会社日本典礼,-,足立区谷在家２丁目１番１６号,-,-,-,12,,35.784598,139.767771
7772,千葉鉄工株式会社,-,足立区入谷７丁目２０番１号,メーカー,-,03-3897-0601,,,35.799945,139.760376
7774,株式会社チュージ,-,足立区西新井栄町２丁目５番１８号,-,-,-,1,,35.7766,139.788031
7775,株式会社ツール,藤井喜三男,足立区日ノ出町２７番地,-,http://www.toolcoltd.com/,-,5,,35.753521,139.810519
7776,司プラスチツク工業株式会社,-,足立区六町１丁目１６番２２号,-,-,-,,,35.782186,139.822913
7777,株式会社塚原金属化学,-,足立区千住中居町２７番７号,サービス,-,-,,,35.749437,139.79773
7779,株式会社ツバメヤ,-,足立区弘道１丁目４番５号,-,-,-,4,,35.768519,139.812339
7780,株式会社デイエスキャリー,-,足立区入谷７丁目１８番２３号,運輸・倉庫関連,-,-,10,,35.799945,139.760376
7781,ティエム・トランスポート株式会社,-,足立区本木西町１４番４号,-,-,-,8,,35.760305,139.779444
7782,株式会社テクノ・バンク,-,足立区西新井本町３丁目７番４号,-,-,-,,,35.77528,139.775725
7783,電冷工業株式会社,荒木克夫,足立区西新井５丁目２９番１２,建設,http://vas.daikinaircon.com/denrei/usr/index.php,03-3856-6351,12,,35.784404,139.775653
7784,東京オイルアナリスト株式会社,森永正明,足立区綾瀬６丁目２７番１０号ＴＲビル,-,http://www.tokyo-oilana.com,-,,,35.77093,139.826063
7785,東京エンジニアリング株式会社,金井隆,足立区栗原３丁目１８番１３号,建設,-,03-3896-3130,5,,35.780269,139.785368
7786,株式会社オーエスオフィス,-,足立区東綾瀬１丁目１６番１５号,-,-,-,,,35.764485,139.832352
7787,株式会社東京花き,-,足立区入谷６丁目３番１号,-,-,-,,,35.799367,139.765288
7788,東京クロス工業株式会社,-,足立区綾瀬７丁目１３番３号,-,-,-,,,35.773905,139.826534
7789,株式会社トーセキ,柳慎太郎,足立区千住曙町３７番３３号,小売,http://www.9-10ki.com/,-,41,,35.741828,139.814018
7790,東京スリーダイン商事株式会社,-,足立区神明南２丁目４番１号,-,-,-,3,,35.789237,139.832085
7792,株式会社東京文化総業,池田隆三,足立区舎人３丁目６番７号,サービス,-,03-3899-6433,7,,35.813186,139.773673
7793,東京パック株式会社,田畑虎幸,足立区西伊興１丁目１８番４号,メーカー,http://www.tokyopack.co.jp/,-,33,,35.792396,139.77469
7794,東京ベロー精機株式会社,-,足立区西新井本町５丁目４番１２号,-,http://www.tokyobellow.co.jp,-,43,,35.773892,139.783153
7795,株式会社東京三田組,三田哲司,足立区北加平町２１番２号,建設,http://tokyomitagumi.com/,03-3606-6615,21,,35.784064,139.828437
7796,株式会社東京マリンスイミングクラブ,-,足立区栗原３丁目３０番４号,-,-,-,,,35.780269,139.785368
7798,東洋健商株式会社,-,足立区綾瀬４丁目１６番６号,-,-,-,,,35.765351,139.822318
7800,東洋設備株式会社,板谷勝弘,足立区梅島３丁目３３番１号,建設,http://www.teamtoyo.co.jp,03-3887-2252,9,,35.775806,139.794888
7801,東栄住宅開発株式会社,-,足立区足立３丁目３３番１号,-,-,-,0,,35.763981,139.810429
7802,東幸建機株式会社,田中秀雄,足立区南花畑５丁目３番２１号,建設,-,03-3884-3372,9,,35.796305,139.813981
7804,株式会社東進,-,足立区舎人５丁目７番２０号,-,-,-,,,35.811593,139.767983
7805,株式会社トーシヨク,-,足立区扇１丁目１番２０号,-,-,-,3,,35.762366,139.774261
7806,東都警備保障株式会社,-,足立区足立４丁目１５番１３号,-,-,-,,,35.766192,139.805789
7807,東都部品株式会社,石井達生,足立区椿１丁目４番１０号,サービス,https://www.rakuten.co.jp/totocar/,-,1,,35.777762,139.759
7808,株式会社エネックス,萩原進,足立区千住１丁目４番１号東京芸術センター１０Ｆ,-,http://fuji-enex.com/,-,,,35.747835,139.801407
7809,株式会社トーマ工芸,-,足立区島根３丁目２２番４号,サービス,-,-,0,,35.779603,139.794499
7813,図南開発株式会社,-,足立区西新井６丁目４３番９号,-,-,-,,,35.780529,139.776124
7814,株式会社舎人商事,-,足立区舎人３丁目１４番１１号,不動産、レンタル・リース,-,03-3899-1603,2,,35.813186,139.773673
7815,株式会社國井建設,國井政道,足立区関原２丁目１８番１２号,-,-,03-3848-1507,6,,35.766962,139.789046
7816,株式会社トミーカシワ,-,足立区伊興２丁目２１番１０号,-,-,-,1,,35.792936,139.781086
7817,富永興業株式会社,富永元紀,足立区江北１丁目２６番６号,-,-,03-3854-0062,9,,35.769804,139.768329
7818,ドライ加工株式会社,-,足立区鹿浜２丁目８番８号,商社,-,03-3899-6910,4,,35.781856,139.747084
7819,株式会社鳥銀,-,足立区舎人２丁目１７番１１号,-,-,-,,,35.811296,139.771662
